Time,Flow 
3,19.689
3.010416667,19.364
3.020833333,19.169
3.03125,18.847
3.041666667,18.719
3.052083333,18.464
3.0625,18.273
3.072916667,18.083
3.083333333,17.957
3.09375,17.769
3.104166667,17.643
3.114583333,17.394
3.125,17.208
3.135416667,17.146
3.145833333,17.022
3.15625,16.899
3.166666667,16.715
3.177083333,16.593
3.1875,16.532
3.197916667,16.41
3.208333333,16.349
3.21875,16.167
3.229166667,16.107
3.239583333,16.107
3.25,15.926
3.260416667,15.806
3.270833333,15.627
3.28125,15.687
3.291666667,15.627
3.302083333,15.567
3.3125,15.508
3.322916667,15.271
3.333333333,15.212
3.34375,15.153
3.354166667,15.153
3.364583333,15.094
3.375,15.33
3.385416667,15.035
3.395833333,14.976
3.40625,15.035
3.416666667,14.859
3.427083333,14.801
3.4375,14.859
3.447916667,14.742
3.458333333,14.742
3.46875,14.684
3.479166667,14.626
3.489583333,14.568
3.5,14.568
3.510416667,14.568
3.520833333,14.626
3.53125,14.742
3.541666667,14.918
3.552083333,15.448
3.5625,15.508
3.572916667,15.389
3.583333333,15.687
3.59375,15.986
3.604166667,16.654
3.614583333,17.394
3.625,18.273
3.635416667,19.82
3.645833333,22.506
3.65625,26.049
3.666666667,29.945
3.677083333,33.567
3.6875,37.424
3.697916667,40.619
3.708333333,44.228
3.71875,46.913
3.729166667,50.307
3.739583333,52.15
3.75,54.576
3.760416667,57.843
3.770833333,60.722
3.78125,61.539
3.791666667,62.595
3.802083333,65.21
3.8125,66.896
3.822916667,67.139
3.833333333,66.654
3.84375,66.896
3.854166667,67.017
3.864583333,67.746
3.875,67.503
3.885416667,67.99
3.895833333,68.112
3.90625,70.199
3.916666667,69.706
3.927083333,69.336
3.9375,69.336
3.947916667,67.99
3.958333333,67.26
3.96875,65.449
3.979166667,64.016
3.989583333,62.36
4,59.91
4.010416667,57.957
4.020833333,55.357
4.03125,52.917
4.041666667,50.738
4.052083333,48.704
4.0625,47.017
4.072916667,44.944
4.083333333,43.617
4.09375,41.907
4.104166667,40.03
4.114583333,38.477
4.125,37.614
4.135416667,36.571
4.145833333,34.983
4.15625,34.132
4.166666667,33.246
4.177083333,32.289
4.1875,31.657
4.197916667,30.874
4.208333333,30.563
4.21875,29.561
4.229166667,29.103
4.239583333,28.572
4.25,28.12
4.260416667,27.448
4.270833333,26.708
4.28125,26.708
4.291666667,25.903
4.302083333,25.541
4.3125,25.324
4.322916667,24.893
4.333333333,24.607
4.34375,24.181
4.354166667,23.969
4.364583333,23.758
4.375,23.407
4.385416667,22.92
4.395833333,22.99
4.40625,22.851
4.416666667,22.231
4.427083333,22.095
4.4375,21.89
4.447916667,21.754
4.458333333,21.618
4.46875,21.281
4.479166667,20.811
4.489583333,20.745
4.5,20.612
4.510416667,20.678
4.520833333,20.413
4.53125,20.28
4.541666667,20.148
4.552083333,19.82
4.5625,19.82
4.572916667,19.494
4.583333333,19.04
4.59375,19.364
4.604166667,19.04
4.614583333,18.912
4.625,18.847
4.635416667,18.719
4.645833333,18.591
4.65625,18.528
4.666666667,18.273
4.677083333,18.464
4.6875,18.02
4.697916667,17.456
4.708333333,17.957
4.71875,17.643
4.729166667,18.147
4.739583333,17.581
4.75,17.456
4.760416667,17.27
4.770833333,17.332
4.78125,17.084
4.791666667,17.084
4.802083333,17.022
4.8125,16.593
4.822916667,16.776
4.833333333,16.899
4.84375,16.838
4.854166667,16.349
4.864583333,16.349
4.875,16.654
4.885416667,16.838
4.895833333,16.961
4.90625,17.208
4.916666667,17.022
4.927083333,16.776
4.9375,17.27
4.947916667,18.083
4.958333333,18.464
4.96875,20.811
4.979166667,22.095
4.989583333,25.903
5,30.952
5.010416667,37.997
5.020833333,45.047
5.03125,52.368
5.041666667,58.185
