Station name,Victoria Bridge - Old
Station number,"730507"
External number,---
River,River Kent
Operator,---
NGR,SD5179193065
Easting,"351791"
Northing,"493065"
Parameter-name,FQ [Flow]
Parameter Type,Flow
Time series name,tsm(CLA/730507/FQ/15m.Cmd.Runoff.C);Round(3)
Time series unit,m³/s
Time level,High-resolution
Time series type,Other
Equidistant time series,yes
Time series value distance,15 minute
Time series quality,Production
Time series measuring method,---
Period of record in file: 01/12/2015 00:00:00 to 01/01/2016 00:00:00
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace
Time stamp,Value [m³/s],State of value,Interpolation,Runoff value [l/s/km²],State of runoff value,Interpolation of runoff value,Tags,Comments
01/12/2015 00:00:00,17.022,G,102,93.017652,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 00:15:00,16.654,G,102,91.00406,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 00:30:00,16.471,G,102,90.003754,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 00:45:00,16.349,G,102,89.339294,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 01:00:00,16.167,G,102,88.346228,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 01:15:00,16.107,G,102,88.016174,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 01:30:00,15.986,G,102,87.357519,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 01:45:00,15.806,G,102,86.373179,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 02:00:00,15.687,G,102,85.719384,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 02:15:00,15.567,G,102,85.067539,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 02:30:00,15.389,G,102,84.093433,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 02:45:00,15.33,G,102,83.769709,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 03:00:00,15.094,G,102,82.479716,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 03:15:00,15.094,G,102,82.479716,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 03:30:00,14.859,G,102,81.197586,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 03:45:00,14.859,G,102,81.197586,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 04:00:00,14.742,G,102,80.559478,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 04:15:00,14.626,G,102,79.923346,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 04:30:00,14.568,G,102,79.606021,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 04:45:00,14.51,G,102,79.289192,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 05:00:00,14.452,G,102,78.972859,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 05:15:00,14.394,G,102,78.657021,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 05:30:00,14.279,G,102,78.026836,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 05:45:00,14.221,G,102,77.71249,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
