Station name,Victoria Bridge - Old
Station number,"730507"
External number,---
River,River Kent
Operator,---
NGR,SD5179193065
Easting,"351791"
Northing,"493065"
Parameter-name,SG [Stage]
Parameter Type,Stage
Time series name,tsm(CLA/730507/SG/15m.Cmd.RelAbs.P);Round(3)
Time series unit,m
Time level,High-resolution
Time series type,Other
Equidistant time series,yes
Time series value distance,15 minute
Time series quality,Production
Time series measuring method,---
Period of record in file: 01/12/2015 00:00:00 to 01/01/2016 00:00:00
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace
Time stamp,Value [m],State of value,Interpolation,Absolute value [mAOD],State of absolute value,Interpolation of absolute value,Tags,Comments
01/12/2015 00:00:00,1.582,G;Ed,102,42.422,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 00:15:00,1.576,G;Ed,102,42.416,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 00:30:00,1.573,G;Ed,102,42.413,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 00:45:00,1.571,G;Ed,102,42.411,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 01:00:00,1.568,G;Ed,102,42.408,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 01:15:00,1.567,G;Ed,102,42.407,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 01:30:00,1.565,G;Ed,102,42.405,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 01:45:00,1.562,G;Ed,102,42.402,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 02:00:00,1.56,G;Ed,102,42.4,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 02:15:00,1.558,G;Ed,102,42.398,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
